T12,Expenditure on health,,,,,
570,Niue,2010,Domestic general government health expenditure (% of total government expenditure),6.9,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
570,Niue,2017,Domestic general government health expenditure (% of total government expenditure),5.1,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
570,Niue,2018,Domestic general government health expenditure (% of total government expenditure),5.0,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
570,Niue,2019,Domestic general government health expenditure (% of total government expenditure),4.7,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
807,North Macedonia,2000,Current health expenditure (% of GDP),8.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
807,North Macedonia,2005,Current health expenditure (% of GDP),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
807,North Macedonia,2010,Current health expenditure (% of GDP),6.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
807,North Macedonia,2017,Current health expenditure (% of GDP),6.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
807,North Macedonia,2018,Current health expenditure (% of GDP),6.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
807,North Macedonia,2019,Current health expenditure (% of GDP),7.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
807,North Macedonia,2000,Domestic general government health expenditure (% of total government expenditure),14.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
807,North Macedonia,2005,Domestic general government health expenditure (% of total government expenditure),13.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
807,North Macedonia,2010,Domestic general government health expenditure (% of total government expenditure),12.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
807,North Macedonia,2017,Domestic general government health expenditure (% of total government expenditure),11.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
807,North Macedonia,2018,Domestic general government health expenditure (% of total government expenditure),12.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
807,North Macedonia,2019,Domestic general government health expenditure (% of total government expenditure),13.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
578,Norway,2000,Current health expenditure (% of GDP),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
578,Norway,2005,Current health expenditure (% of GDP),8.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
578,Norway,2010,Current health expenditure (% of GDP),8.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
578,Norway,2017,Current health expenditure (% of GDP),10.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
578,Norway,2018,Current health expenditure (% of GDP),10.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
578,Norway,2019,Current health expenditure (% of GDP),10.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
578,Norway,2000,Domestic general government health expenditure (% of total government expenditure),14.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
578,Norway,2005,Domestic general government health expenditure (% of total government expenditure),16.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
578,Norway,2010,Domestic general government health expenditure (% of total government expenditure),16.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
578,Norway,2017,Domestic general government health expenditure (% of total government expenditure),17.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
578,Norway,2018,Domestic general government health expenditure (% of total government expenditure),17.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
578,Norway,2019,Domestic general government health expenditure (% of total government expenditure),17.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
512,Oman,2000,Current health expenditure (% of GDP),3.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
